GeneID	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Plastic.rep1	Plastic.rep2	Matrigel.rep1	Matrigel.rep2	Plastic.TPM	Matrigel.TPM
ENSG00000128731	HERC2	2378.0278	-6.3504	0.1502	-42.2837	0.000E+00	0.000E+00	4887.7808	4509.1218	62.2348	52.9737	53.96	60.10
ENSG00000162631	NTNG1	1700.0626	-5.9746	0.1557	-38.3668	0.000E+00	0.000E+00	3530.8388	3162.8993	59.3175	47.1948	0.06	0.00
ENSG00000204740	MALRD1	2496.7371	-5.3440	0.1158	-46.1335	0.000E+00	0.000E+00	5034.2349	4712.8130	108.9108	130.9896	0.00	0.00
ENSG00000085377	PREP	2500.6437	-5.1824	0.1107	-46.8151	0.000E+00	0.000E+00	4985.4168	4749.0017	142.9454	125.2107	28.92	37.48
ENSG00000185274	GALNT17	1868.0265	5.0756	0.1188	42.7292	0.000E+00	0.000E+00	98.6323	116.8381	3662.1263	3594.5092	0.00	0.11
ENSG00000164741	DLC1	1372.3504	-4.6311	0.1173	-39.4726	0.000E+00	0.000E+00	2622.2256	2654.1884	114.7453	98.2422	74.45	11.37
ENSG00000105855	ITGB8	2377.1094	-4.2831	0.0928	-46.1296	0.000E+00	0.000E+00	4516.1660	4527.7332	233.3803	231.1581	7.36	7.94
ENSG00000105889	STEAP1B	1857.0440	-4.2749	0.1003	-42.6337	0.000E+00	0.000E+00	3630.4674	3432.7642	192.5388	172.4055	5.79	5.96
ENSG00000182185	RAD51B	1720.0893	-3.9647	0.0964	-41.1441	0.000E+00	0.000E+00	3312.6521	3153.5936	197.4009	216.7108	8.44	5.34
ENSG00000234810	AL603840.1	1369.0928	5.3179	0.1419	37.4851	1.613E-307	1.186E-304	70.7363	63.0719	2722.7705	2619.7924	0.02	0.00
ENSG00000275443	AC012409.2	1758.4149	-2.9221	0.0820	-35.6425	3.083E-278	2.060E-275	3070.5545	3143.2539	425.9191	393.9320	0.00	0.00
ENSG00000279501	CR392039.3	2508.4963	-2.7275	0.0766	-35.6123	9.028E-278	5.530E-275	4309.9347	4407.7933	668.0512	648.2060	0.00	0.00
ENSG00000147202	DIAPH2	1383.1483	3.2761	0.0926	35.3779	3.740E-274	2.115E-271	249.0716	268.8309	2579.8250	2434.8658	9.87	2.93
ENSG00000157445	CACNA2D3	1182.9546	-3.6149	0.1037	-34.8701	2.108E-266	1.107E-263	2297.4363	2077.2359	182.8146	174.3318	0.09	0.14
ENSG00000158966	CACHD1	1064.4327	-3.7935	0.1105	-34.3324	2.583E-258	1.266E-255	2081.2422	1890.0882	137.1109	149.2896	10.82	2.95
ENSG00000250349	AF241726.2	1776.4190	-7.0238	0.2050	-34.2590	3.202E-257	1.471E-254	3666.3337	3385.2018	21.3932	32.7474	0.54	0.00
ENSG00000198929	NOS1AP	990.2939	-5.0125	0.1467	-34.1615	9.023E-256	3.901E-253	1943.7546	1898.3599	62.2348	56.8264	0.83	1.82
ENSG00000169855	ROBO1	994.1945	-4.4824	0.1317	-34.0370	6.330E-254	2.585E-251	2011.5021	1794.9634	83.6280	86.6843	33.09	14.53
ENSG00000237505	PKN2-AS1	930.6615	-4.0640	0.1195	-34.0075	1.729E-253	6.687E-251	1771.3971	1741.1972	109.8832	100.1685	0.67	0.08
ENSG00000162599	NFIA	972.6522	-3.7673	0.1123	-33.5418	1.184E-246	4.350E-244	1825.1966	1799.0993	151.6972	114.6159	2.38	0.55
ENSG00000228639	ROCR	1125.1542	-5.8002	0.1741	-33.3165	2.226E-243	7.789E-241	2294.4474	2126.8662	34.0346	45.2685	1.35	0.42
ENSG00000170044	ZPLD1	1044.4541	-3.3858	0.1019	-33.2151	6.517E-242	2.177E-239	1974.6395	1838.3900	176.0077	188.7792	0.00	0.00
